GSSCode,year,diversity
E01000528,2011,0.295
E01000528,2021,1.364
E01000474,2011,0.387
E01000474,2021,0.897
E01000477,2011,0.381
E01000477,2021,1.069
E01000595,2011,0.456
E01000595,2021,1.388
E01033456,2011,0.337
E01033456,2021,1.32
E01033938,2011,0.319
E01033938,2021,1.364
E01000545,2011,0.359
E01000545,2021,1.387
E01000547,2011,0.387
E01000547,2021,1.228
E01000549,2011,0.455
E01000549,2021,1.118
E01000473,2011,0.332
E01000473,2021,0.908
E01000478,2011,0.647
E01000478,2021,1.087
E01000489,2011,0.43
E01000489,2021,1.385
E01000492,2011,0.38
E01000492,2021,1.141
E01000581,2011,0.748
E01000581,2021,1.119
E01000524,2011,0.671
E01000524,2021,1.433
E01000533,2011,0.701
E01000533,2021,1.382
E01033455,2011,0.964
E01033455,2021,1.488
E01000579,2011,0.831
E01000579,2021,1.222
E01000582,2011,0.508
E01000582,2021,0.964
E01000586,2011,0.757
E01000586,2021,1.273
E01000531,2011,0.542
E01000531,2021,1.349
E01000534,2011,0.822
E01000534,2021,1.273
E01000585,2011,0.785
E01000585,2021,1.161
E01000550,2011,0.997
E01000550,2021,1.414
E01000552,2011,0.846
E01000552,2021,1.458
E01033940,2011,0.848
E01033940,2021,1.35
E01033942,2011,1.06
E01033942,2021,1.334
E01000617,2011,0.857
E01000617,2021,1.286
E01000618,2011,0.674
E01000618,2021,1.321
E01000908,2011,0.822
E01000908,2021,1.11
E01000912,2011,0.883
E01000912,2021,1.093
E01000893,2011,1.166
E01000893,2021,0.777
E01000895,2011,1.31
E01000895,2021,0.956
E01000899,2011,0.844
E01000899,2021,0.809
E01000911,2011,0.711
E01000911,2021,0.981
E01000923,2011,0.732
E01000923,2021,0.894
E01000878,2011,1.001
E01000878,2021,1.242
E01000880,2011,0.792
E01000880,2021,1.015
E01000885,2011,1.175
E01000885,2021,0.819
E01000872,2011,0.721
E01000872,2021,1.212
E01000874,2011,1.225
E01000874,2021,1.02
E01000886,2011,0.723
E01000886,2021,0.753
E01000888,2011,0.776
E01000888,2021,1.026
E01000903,2011,0.949
E01000903,2021,1.072
E01000890,2011,1.07
E01000890,2021,1.297
E01000901,2011,0.829
E01000901,2021,1.368
E01000927,2011,1.225
E01000927,2021,0.938
E01000882,2011,1.005
E01000882,2021,0.82
E01000897,2011,0.964
E01000897,2021,0.81
E01000866,2011,1.187
E01000866,2021,1.08
E01000924,2011,0.924
E01000924,2021,0.906
E01000926,2011,1.14
E01000926,2021,1.181
E01000970,2011,0.945
E01000970,2021,0.996
E01000972,2011,0.88
E01000972,2021,1.341
E01000842,2011,0.614
E01000842,2021,0.898
E01000848,2011,1.091
E01000848,2021,0.858
E01000900,2011,1.193
E01000900,2021,1.154
E01000904,2011,0.723
E01000904,2021,1.239
E01000906,2011,0.552
E01000906,2021,0.996
E01000876,2011,0.712
E01000876,2021,1.304
E01000932,2011,0.982
E01000932,2021,1.167
E01000843,2011,1.279
E01000843,2021,0.875
E01000846,2011,1.305
E01000846,2021,1.309
E01000867,2011,0.945
E01000867,2021,1.263
E01000869,2011,1.276
E01000869,2021,1.069
E01000962,2011,1.08
E01000962,2021,0.925
E01000965,2011,0.917
E01000965,2021,1.18
E01000968,2011,1.235
E01000968,2021,1.041
E01000961,2011,1.287
E01000961,2021,1.384
E01000967,2011,1.293
E01000967,2021,1.071
E01000858,2011,1.126
E01000858,2021,1.351
E01000860,2011,1.27
E01000860,2021,0.907
E01000856,2011,1.32
E01000856,2021,1.286
E01000957,2011,1.219
E01000957,2021,1.181
E01000959,2011,1.163
E01000959,2021,1.35
E01000930,2011,1.043
E01000930,2021,1.424
E01000934,2011,1.04
E01000934,2021,1.379
E01000863,2011,1.044
E01000863,2021,1.129
E01000947,2011,1.187
E01000947,2021,1.169
E01000952,2011,1.233
E01000952,2021,1.317
E01000955,2011,0.91
E01000955,2021,1.386
E01035708,2011,1.093
E01035708,2021,1.371
E01000944,2011,0.601
E01000944,2021,1.37
E01000951,2011,0.764
E01000951,2021,1.375
E01000850,2011,0.727
E01000850,2021,1.13
E01035711,2011,1.085
E01035711,2021,1.236
E01000916,2011,1.17
E01000916,2021,1.244
E01000920,2011,1.052
E01000920,2021,1.136
E01000914,2011,1.294
E01000914,2021,1.174
E01000919,2011,1.335
E01000919,2021,1.21
E01000939,2011,1.272
E01000939,2021,1.314
E01000941,2011,1.336
E01000941,2021,1.37
E01000943,2011,1.366
E01000943,2021,1.169
E01000853,2011,1.357
E01000853,2021,1.309
E01000002,2011,1.301
E01000002,2021,0.752
E01000005,2011,1.229
E01000005,2021,1.409
E01032740,2011,1.314
E01032740,2021,0.9
E01001138,2011,1.198
E01001138,2021,1.05
E01001162,2011,1.255
E01001162,2021,1.259
E01001084,2011,1.303
E01001084,2021,1.281
E01001159,2011,1.24
E01001159,2021,1.358
E01001163,2011,1.11
E01001163,2021,1.16
E01001086,2011,1.214
E01001086,2021,1.381
E01001161,2011,1.295
E01001161,2021,1.452
E01001088,2011,1.157
E01001088,2021,1.419
E01001090,2011,1.322
E01001090,2021,1.405
E01001147,2011,1.388
E01001147,2021,1.336
E01001151,2011,1.28
E01001151,2021,1.39
E01001158,2011,1.329
E01001158,2021,1.164
E01001149,2011,1.313
E01001149,2021,1.217
E01001153,2011,1.303
E01001153,2021,1.375
E01001136,2011,1.301
E01001136,2021,1.338
E01001140,2011,1.316
E01001140,2021,1.15
E01001144,2011,1.286
E01001144,2021,1.281
E01001143,2011,1.262
E01001143,2021,1.273
E01001191,2011,1.309
E01001191,2021,1.302
E01000994,2011,1.214
E01000994,2021,1.46
E01000996,2011,1.237
E01000996,2021,1.396
E01000999,2011,1.317
E01000999,2021,1.332
E01000998,2011,1.402
E01000998,2021,1.329
E01001003,2011,1.382
E01001003,2021,1.396
E01001155,2011,1.347
E01001155,2021,1.39
E01001175,2011,1.337
E01001175,2021,1.415
E01001182,2011,1.347
E01001182,2021,1.394
E01001184,2011,1.129
E01001184,2021,1.36
E01001109,2011,1.096
E01001109,2021,1.38
E01001113,2011,0.965
E01001113,2021,1.307
E01001116,2011,0.758
E01001116,2021,1.406
E01001185,2011,0.889
E01001185,2021,1.244
E01001188,2011,1.372
E01001188,2021,1.339
E01001004,2011,1.254
E01001004,2021,1.41
E01001178,2011,1.377
E01001178,2021,1.446
E01034139,2011,1.384
E01034139,2021,1.392
E01001006,2011,1.365
E01001006,2021,1.467
E01001177,2011,1.098
E01001177,2021,1.39
E01001180,2011,1.024
E01001180,2021,1.436
E01000981,2011,1.26
E01000981,2021,1.203
E01000983,2011,1.162
