GSSCode,GSSCode,diversity2011,diversity2021,,GSSCode,diversity2011
E01002102,E01000331,1.45,0.835,,E01002102,1.45
E01002105,E01000340,1.422,0.686,,E01002105,1.422
E01002099,E01000395,1.504,0.886,,E01002099,1.504
E01002100,E01000396,1.521,0.91,,E01002100,1.521
E01002103,E01000410,1.486,0.822,,E01002103,1.486
E01002104,E01000412,1.503,0.88,,E01002104,1.503
E01001963,E01000413,1.023,0.754,,E01001963,1.023
E01001964,E01000374,1.187,0.932,,E01001964,1.187
E01001965,E01000375,1.007,0.951,,E01001965,1.007
E01001966,E01000376,0.998,0.744,,E01001966,0.998
E01002027,E01000377,1.449,0.617,,E01002027,1.449
E01002028,E01000379,1.47,0.747,,E01002028,1.47
E01002032,E01033791,1.491,0.911,,E01002032,1.491
E01002033,E01033792,1.5,0.715,,E01002033,1.5
E01001976,E01000348,1.467,0.582,,E01001976,1.467
E01001977,E01000349,1.492,0.67,,E01001977,1.492
E01001978,E01000361,1.491,0.681,,E01001978,1.491
E01001979,E01000363,1.524,0.796,,E01001979,1.524
E01002074,E01000389,1.462,0.936,,E01002074,1.462
E01002077,E01000390,1.501,0.849,,E01002077,1.501
E01002079,E01000393,1.509,0.994,,E01002079,1.509
E01002081,E01000346,1.517,0.54,,E01002081,1.517
E01002082,E01000347,1.428,0.596,,E01002082,1.428
E01002086,E01000350,1.487,0.495,,E01002086,1.487
E01002088,E01000352,1.434,0.774,,E01002088,1.434
E01002089,E01000391,1.385,0.754,,E01002089,1.385
E01001967,E01000341,1.002,0.602,,E01001967,1.002
E01001968,E01000342,1.117,0.468,,E01001968,1.117
E01001996,E01000343,0.938,0.585,,E01001996,0.938
E01001997,E01000345,0.989,0.483,,E01001997,0.989
E01002075,E01000460,1.495,0.569,,E01002075,1.495
E01002076,E01000364,1.509,0.872,,E01002076,1.509
E01002078,E01000444,1.487,0.592,,E01002078,1.487
E01002080,E01000447,1.504,0.673,,E01002080,1.504
E01002026,E01000448,1.501,0.512,,E01002026,1.501
E01002029,E01000449,1.498,0.473,,E01002029,1.498
E01002030,E01000351,1.478,0.575,,E01002030,1.478
E01002031,E01000443,1.427,0.537,,E01002031,1.427
E01001991,E01000445,1.041,0.522,,E01001991,1.041
E01001992,E01000446,0.903,0.444,,E01001992,0.903
E01001993,E01000461,0.775,0.658,,E01001993,0.775
E01001995,E01000339,1.36,0.591,,E01001995,1.36
E01001980,E01000344,1.498,0.453,,E01001980,1.498
E01001981,E01000423,1.521,0.571,,E01001981,1.521
E01001982,E01000425,1.451,0.514,,E01001982,1.451
E01001983,E01000463,1.482,0.648,,E01001983,1.482
E01002083,E01000424,1.434,0.547,,E01002083,1.434
E01002084,E01000426,1.431,0.538,,E01002084,1.431
E01002085,E01000427,1.486,0.498,,E01002085,1.486
E01002087,E01000457,1.471,0.7,,E01002087,1.471
E01002014,E01000462,1.266,0.707,,E01002014,1.266
E01002015,E01000382,1.362,0.593,,E01002015,1.362
E01002018,E01000384,1.249,0.614,,E01002018,1.249
E01033085,E01000387,1.414,0.627,,E01033085,1.414
E01033086,E01000428,1.497,0.847,,E01033086,1.497
E01002020,E01000458,1.155,0.617,,E01002020,1.155
E01002022,E01000459,0.901,0.695,,E01002022,0.901
E01002023,E01000381,0.92,0.542,,E01002023,0.92
E01002025,E01000383,0.955,0.562,,E01002025,0.955
E01002013,E01000385,0.993,0.895,,E01002013,0.993
E01002019,E01000386,0.845,0.996,,E01002019,0.845
E01002021,E01000398,0.903,0.795,,E01002021,0.903
E01002024,E01000399,1.059,0.957,,E01002024,1.059
E01001998,E01000400,1.33,0.994,,E01001998,1.33
E01001999,E01032566,1.386,1.032,,E01001999,1.386
E01002003,E01000779,1.471,0.945,,E01002003,1.471
E01002004,E01000780,1.399,1.026,,E01002004,1.399
E01002067,E01000781,1.489,0.915,,E01002067,1.489
E01002069,E01000782,1.494,1.034,,E01002069,1.494
E01002070,E01000783,1.498,0.943,,E01002070,1.498
E01002073,E01000785,1.499,0.86,,E01002073,1.499
E01002066,E01000689,1.505,0.903,,E01002066,1.505
E01002068,E01000690,1.45,0.723,,E01002068,1.45
E01002071,E01000691,1.513,0.712,,E01002071,1.513
